Series,Run,Time,Best
0,0,54.811096,3.000000,
0,1,53.941215,3.000000,
0,2,52.070957,3.000000,
0,3,55.907669,3.000000,
0,4,53.529280,3.000000,
1,0,54.129312,3.000000,
1,1,54.934205,3.000000,
1,2,51.894052,3.000000,
1,3,53.959693,3.000000,
1,4,53.564142,3.000000,
2,0,57.526913,3.000000,
2,1,53.095264,3.000000,
2,2,55.067399,3.000000,
2,3,56.740592,3.000000,
2,4,58.726847,3.000000,
3,0,53.770398,3.000000,
3,1,50.481110,3.000000,
3,2,53.289731,3.000000,
3,3,53.441193,3.000000,
3,4,53.874960,3.000000,
4,0,50.055279,3.000000,
4,1,50.074259,3.000000,
4,2,50.822143,3.000000,
4,3,49.566552,3.000000,
4,4,54.798387,3.000000,
5,0,52.580768,3.000000,
5,1,53.970301,3.000000,
5,2,53.756270,3.000000,
5,3,51.518817,3.000000,
5,4,54.601504,3.000000,
6,0,52.023331,3.000000,
6,1,57.947185,3.000000,
6,2,58.188473,3.000000,
6,3,56.787830,3.000000,
6,4,56.101213,3.000000,
7,0,54.681657,3.000000,
7,1,62.453616,3.000000,
7,2,54.682226,3.000000,
7,3,62.207227,3.000000,
7,4,61.306657,3.000000,
8,0,62.585342,3.000000,
8,1,64.275363,3.000000,
8,2,62.288158,3.000000,
8,3,61.121805,6.000000,
8,4,65.840426,3.000000,
9,0,65.398552,7.000000,
9,1,64.314691,9.000000,
9,2,67.152268,3.000000,
9,3,66.786690,3.000000,
9,4,63.040022,9.000000,
